qid,video_id,youtube_url,duration,question_type,capability,question,question_prompt,A,B,C,D,E
0008-7,sj81PWrerDk,https://www.youtube.com/shorts/sj81PWrerDk,8.85,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),How does the last person in the video open the bottle differently from the first two people?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He uses a different type of knife.,He uses a corkscrew.,He uses a bottle opener.,He uses his finger.,None of the above
0012-7,AGCyLqLuUJ0,https://www.youtube.com/shorts/AGCyLqLuUJ0,20.67,Multiple-choice Question with a Single Correct Answer,Element Counting,How many robot figures are shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,Three,Four,Five,None of the above
0016-7,4mKxze5P9gQ,https://www.youtube.com/shorts/4mKxze5P9gQ,15.06,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Which direction is the person facing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To the right,right and forward,left and forward,To the left,None of the above
0036-7,1SiTuYb506o,https://www.youtube.com/shorts/1SiTuYb506o,18.01,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),Why can the machine cut the zucchini so thinly?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","The blades spin at high speed, and the stroboscopic effect makes it appear slow.",The machine uses a laser to cut.,The zucchini is fed consistently and controlled.,The blade is sharp enough to cut at a slower speed.,None of the above
0037-7,KyyDh9NP_lc,https://www.youtube.com/shorts/KyyDh9NP_lc,19.55,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Five,One,None,Two,None of the above
0038-7,sj81PWrerDk,https://www.youtube.com/shorts/sj81PWrerDk,8.85,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,How did the last person snap off the cap so easily?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",They used a knife to create leverage.,"They had a knife hidden in their sleeve, which they used to cut the cap off.",They made a shallow cut around the bottle's mouth.,They were using a knife to twist and break the cap.,None of the above
0064-7,sE-KTqE9Dek,https://www.youtube.com/shorts/sE-KTqE9Dek,12.61,Multiple-choice Question with a Single Correct Answer,Objective Causality,Why did the room go dark after the stick figure character closed the door?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The lamp fell due to force.,The light switch was hit.,The stick figure character closed the door.,The stick figure character turned off the light switch.,None of the above
0070-7,MSkL7A2yyOY,https://www.youtube.com/shorts/MSkL7A2yyOY,12.97,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times did the person in the video pour the water?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Once,Three times,Four times,Twice,None of the above
0080-7,_MXxJT8Mk4k,https://www.youtube.com/shorts/_MXxJT8Mk4k,13.18,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,What is the purpose of beating the balloon?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To inflate the balloon,To pop it,To deflate it,To change its color,None of the above
0081-7,crJZF1-5ryE,https://www.youtube.com/shorts/crJZF1-5ryE,11.86,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the man put his hand on his face?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To adjust his glasses.,To hide from the camera.,As part of a synchronized dance move.,To transfer the cat face filter to the girl next to him.,None of the above
