qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0008-0,sj81PWrerDk,Primary Open-ended Question,Plot Attribute (Montage),What is the difference between the action of the last person in the video and the actions of the first two people?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0012-0,AGCyLqLuUJ0,Primary Open-ended Question,Element Counting,How many robot figures appear in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0
0016-0,4mKxze5P9gQ,Primary Open-ended Question,Element Attributes (Optical Illusion),Which direction is the person facing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ
0036-0,1SiTuYb506o,Primary Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Why can the apparently slow spinning machine cut the zucchini so thinly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o
0037-0,KyyDh9NP_lc,Primary Open-ended Question,Element Attributes (Optical Illusion),How many parts of the video have been artificially edited?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc
0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek
0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY
0080-0,_MXxJT8Mk4k,Primary Open-ended Question,Professional Knowledge,What is the purpose of beating the balloon?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k
0081-0,crJZF1-5ryE,Primary Open-ended Question,Character Motivation Causality,Why does the man put his hand on his face?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE
0083-0,Z-x3kXiyOFc,Primary Open-ended Question,Plot Attribute,What does the video want to tell as the daughter enters the room several times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc
0099-0,aUDYWYqtAR4,Primary Open-ended Question,Event Counting,How many zoomed-in close-ups are there throughout the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4
0101-0,FdkXmy42Qv8,Primary Open-ended Question,Event Localization,In which sequence of location does the man teleport in the video?,24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8
0113-0,2uuLeoxlZOo,Primary Open-ended Question,Event Counting,How many buildings are demolished throughout the video?,59.54,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/2uuLeoxlZOo
0117-0,uupXcgeP0-w,Primary Open-ended Question,Element Counting,How many toy cars are shown in the video?,22.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uupXcgeP0-w
0118-0,XlROzogZpVM,Primary Open-ended Question,Local Event Attribute,"At the beginning of the video, what action did the person do to make the bottle fall down to the ground?",9.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XlROzogZpVM
0127-0,NmqIqJsdIuk,Primary Open-ended Question,Element Counting,How many watches are shown in the video?,11.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/NmqIqJsdIuk
0129-0,7t4cNOpTuCY,Primary Open-ended Question,Element Counting,How many men appear in the video?,30.81,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7t4cNOpTuCY
0133-0,u2HvKEGq3Ik,Primary Open-ended Question,Event Localization,What does the final scene depicts?,60.05,Please state your answer with a brief explanation.,,https://youtube.com/shorts/u2HvKEGq3Ik
0142-0,rCW1aGpFrJg,Primary Open-ended Question,Character Motivation Causality,What is the purpose for the character in costume to put a small piece of white tape on the handrail?,58.82,Please state your answer with a brief explanation.,,https://youtube.com/shorts/rCW1aGpFrJg
0146-0,eU5I-p1HcUs,Primary Open-ended Question,Event Counting,"How many times does the color of the car in the video change?
",24.45,Please state your answer with a brief explanation.,,https://youtube.com/shorts/eU5I-p1HcUs
0151-0,lfitOyblkDQ,Primary Open-ended Question,Element Localization,What are the characteristics of the clothing of the person holding a potato in the video?,59.71,Please state your answer with a brief explanation.,,https://youtube.com/shorts/lfitOyblkDQ
0152-0,4ocqfNvvI_w,Primary Open-ended Question,Element Attributes,"In the video, what is the tools for fixing the position of the pages?",32.81,Please state your answer with a brief explanation.,,https://youtube.com/shorts/4ocqfNvvI_w
0154-0,PH3yeSEgiGE,Primary Open-ended Question,Positional Relationship,"In the video, with which hand does the adult man hand the white cutting board to the child?",30.12,Please state your answer with a brief explanation.,,https://youtube.com/shorts/PH3yeSEgiGE
0162-0,mLbuK7IU7_Y,Primary Open-ended Question,Event Counting,"How many times does the golfer in the video successfully hit the target?
",17.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mLbuK7IU7_Y
0167-0,C2JNR1EVPyM,Primary Open-ended Question,Character Reaction Causality,"Why is the woman in the video surprised?
",9.64,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C2JNR1EVPyM
0169-0,fk5kAJj5io0,Primary Open-ended Question,Event Counting,"How many times does the woman pour juice into the mold in the video?
",33.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fk5kAJj5io0
0179-0,boEKlG35qHM,Primary Open-ended Question,Event Counting,How many times does the person cut the stem?,15.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/boEKlG35qHM
0198-0,j3cE7hoF5aI,Primary Open-ended Question,Element Counting,How many photos about â€œold meâ€ are played in the video in total?,20.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/j3cE7hoF5aI
