qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0008-1,sj81PWrerDk,Paraphrased Open-ended Question,Plot Attribute (Montage),Can you describe how the actions of the last person in the video differ from other individuals?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0012-1,AGCyLqLuUJ0,Paraphrased Open-ended Question,Element Counting,What is the total number of robot figures shown in the video?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0
0016-1,4mKxze5P9gQ,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In which directions is the person looking?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ
0036-1,1SiTuYb506o,Paraphrased Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),How does the machine manage to slice the zucchini so thinly despite appearing to spin slowly?,18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o
0037-1,KyyDh9NP_lc,Paraphrased Open-ended Question,Element Attributes (Optical Illusion),In how many sections does the video show signs of artificial editing?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc
0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek
0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY
0080-1,_MXxJT8Mk4k,Paraphrased Open-ended Question,Professional Knowledge,Why do you need to hit the balloon in this activity?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k
0081-1,crJZF1-5ryE,Paraphrased Open-ended Question,Character Motivation Causality,What is the reason the man covers his face with his hand?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE
0083-1,Z-x3kXiyOFc,Paraphrased Open-ended Question,Plot Attribute,What is the message conveyed by the daughter's repeated entries into the room?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc
0099-1,aUDYWYqtAR4,Paraphrased Open-ended Question,Event Counting,What is the total number of zoomed-in close-ups in the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4
0101-1,FdkXmy42Qv8,Paraphrased Open-ended Question,Event Localization,What is the order of locations where the man appears after teleporting in the video?,24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8
0113-1,2uuLeoxlZOo,Paraphrased Open-ended Question,Event Counting,What is the total number of buildings that are taken down in the video?,59.54,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/2uuLeoxlZOo
0117-1,uupXcgeP0-w,Paraphrased Open-ended Question,Element Counting,What is the number of toy cars visible in the video?,22.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uupXcgeP0-w
0118-1,XlROzogZpVM,Paraphrased Open-ended Question,Local Event Attribute,What did the person do at the start of the video that caused the bottle to fall?,9.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XlROzogZpVM
0127-1,NmqIqJsdIuk,Paraphrased Open-ended Question,Element Counting,What is the total number of watches displayed in the video?,11.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/NmqIqJsdIuk
0129-1,7t4cNOpTuCY,Paraphrased Open-ended Question,Element Counting,What is the number of male figures shown in the video?,30.81,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7t4cNOpTuCY
0133-1,u2HvKEGq3Ik,Paraphrased Open-ended Question,Event Localization,What is shown in the final scene of the video?,60.05,Please state your answer with a brief explanation.,,https://youtube.com/shorts/u2HvKEGq3Ik
0142-1,rCW1aGpFrJg,Paraphrased Open-ended Question,Character Motivation Causality,Why does the character in costume place a small piece of white tape on the handrail?,58.82,Please state your answer with a brief explanation.,,https://youtube.com/shorts/rCW1aGpFrJg
0146-1,eU5I-p1HcUs,Paraphrased Open-ended Question,Event Counting,How many times does the car's color shift in the video?,24.45,Please state your answer with a brief explanation.,,https://youtube.com/shorts/eU5I-p1HcUs
0151-1,lfitOyblkDQ,Paraphrased Open-ended Question,Element Localization,What are the features of the person holding a potato in the video?,59.71,Please state your answer with a brief explanation.,,https://youtube.com/shorts/lfitOyblkDQ
0152-1,4ocqfNvvI_w,Paraphrased Open-ended Question,Element Attributes,What tool is used in the video to secure the pages in place?,32.81,Please state your answer with a brief explanation.,,https://youtube.com/shorts/4ocqfNvvI_w
0154-1,PH3yeSEgiGE,Paraphrased Open-ended Question,Positional Relationship,Which hand does the man use to pass the white cutting board to the child in the video?,30.12,Please state your answer with a brief explanation.,,https://youtube.com/shorts/PH3yeSEgiGE
0162-1,mLbuK7IU7_Y,Paraphrased Open-ended Question,Event Counting,How many successful target hits does the golfer achieve in the video?,17.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mLbuK7IU7_Y
0167-1,C2JNR1EVPyM,Paraphrased Open-ended Question,Character Reaction Causality,What causes the woman in the video to feel astonished?,9.64,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C2JNR1EVPyM
0169-1,fk5kAJj5io0,Paraphrased Open-ended Question,Event Counting,How many times does the woman fill the mold with juice in the video?,33.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fk5kAJj5io0
0179-1,boEKlG35qHM,Paraphrased Open-ended Question,Event Counting,How many times have the stems been cut?,15.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/boEKlG35qHM
0198-1,j3cE7hoF5aI,Paraphrased Open-ended Question,Element Counting,What is the total number of photos labeled 'old me' shown in the video?,20.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/j3cE7hoF5aI
