qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0008-2,sj81PWrerDk,Correctly-led Open-ended Question,Plot Attribute (Montage),Did the last person open the bottle without using a knife?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0012-2,AGCyLqLuUJ0,Correctly-led Open-ended Question,Element Counting,Does the video display four robot figures in total?,20.67,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/AGCyLqLuUJ0
0016-2,4mKxze5P9gQ,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person facing both sideways and forward due to photo editing?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/4mKxze5P9gQ
0036-2,1SiTuYb506o,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),"Is the reason the machine cuts the zucchini so thinly because the blades are spinning at a high speed, creating a stroboscopic effect?",18.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/1SiTuYb506o
0037-2,KyyDh9NP_lc,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the video edited in multiple parts to create the effect of video game glitches?,19.55,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/KyyDh9NP_lc
0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk
0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek
0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY
0080-2,_MXxJT8Mk4k,Correctly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to create a fun and interactive toy?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k
0081-2,crJZF1-5ryE,Correctly-led Open-ended Question,Character Motivation Causality,Did the man cover his face to transfer the cat face filter to the girl next to him?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE
0083-2,Z-x3kXiyOFc,Correctly-led Open-ended Question,Plot Attribute,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc
0099-2,aUDYWYqtAR4,Correctly-led Open-ended Question,Event Counting,"Are there two zoomed-in close-ups in the video, focusing on the geometric pattern?",59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4
0101-2,FdkXmy42Qv8,Correctly-led Open-ended Question,Event Localization,"Does the man teleport to the bookshelf, couch, cardboard box, and then back under the blanket in the video?",24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8
0113-2,2uuLeoxlZOo,Correctly-led Open-ended Question,Event Counting,Are two buildings demolished in the video?,59.54,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/2uuLeoxlZOo
0117-2,uupXcgeP0-w,Correctly-led Open-ended Question,Element Counting,Are there two toy cars shown in the video clip?,22.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uupXcgeP0-w
0118-2,XlROzogZpVM,Correctly-led Open-ended Question,Local Event Attribute,"Did the person let go of the bottles on a slope, causing them to slide and fall?",9.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/XlROzogZpVM
0127-2,NmqIqJsdIuk,Correctly-led Open-ended Question,Element Counting,Are there four watches shown in the video?,11.56,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/NmqIqJsdIuk
0129-2,7t4cNOpTuCY,Correctly-led Open-ended Question,Element Counting,Is there only one man in the video?,30.81,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/7t4cNOpTuCY
0133-2,u2HvKEGq3Ik,Correctly-led Open-ended Question,Event Localization,Does the final scene depict three men performing a stunt by jumping through a hula hoop?,60.05,Please state your answer with a brief explanation.,,https://youtube.com/shorts/u2HvKEGq3Ik
0142-2,rCW1aGpFrJg,Correctly-led Open-ended Question,Character Motivation Causality,Waht is the purpose for the character in costume to put a small piece of white tape on the handrail?,58.82,Please state your answer with a brief explanation.,,https://youtube.com/shorts/rCW1aGpFrJg
0146-2,eU5I-p1HcUs,Correctly-led Open-ended Question,Event Counting,"Does the car in the video change color four times, starting with black?",24.45,Please state your answer with a brief explanation.,,https://youtube.com/shorts/eU5I-p1HcUs
0151-2,lfitOyblkDQ,Correctly-led Open-ended Question,Element Localization,Is the person holding a potato wearing a red coat and having long brown hair?,59.71,Please state your answer with a brief explanation.,,https://youtube.com/shorts/lfitOyblkDQ
0152-2,4ocqfNvvI_w,Correctly-led Open-ended Question,Element Attributes,Is the tool used to fix the pages in the video a blue retainer?,32.81,Please state your answer with a brief explanation.,,https://youtube.com/shorts/4ocqfNvvI_w
0154-2,PH3yeSEgiGE,Correctly-led Open-ended Question,Positional Relationship,Does the man hand the white cutting board to the child using his left hand?,30.12,Please state your answer with a brief explanation.,,https://youtube.com/shorts/PH3yeSEgiGE
0162-2,mLbuK7IU7_Y,Correctly-led Open-ended Question,Event Counting,Does the golfer hit the target only once in the video?,17.15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/mLbuK7IU7_Y
0167-2,C2JNR1EVPyM,Correctly-led Open-ended Question,Character Reaction Causality,Is the woman surprised because the pencil remains unbroken despite the man's grip?,9.64,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C2JNR1EVPyM
0169-2,fk5kAJj5io0,Correctly-led Open-ended Question,Event Counting,Does the woman pour juice into the mold twice in the video?,33.44,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/fk5kAJj5io0
0179-2,boEKlG35qHM,Correctly-led Open-ended Question,Event Counting,Does the person cut the stem with just one swing?,15.62,Please state your answer with a brief explanation.,,https://youtube.com/shorts/boEKlG35qHM
0198-2,j3cE7hoF5aI,Correctly-led Open-ended Question,Element Counting,Are there 12 photos labeled 'old me' in the video?,20.99,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/j3cE7hoF5aI
0217-2,C9yerI1NK7M,Correctly-led Open-ended Question,Event Duration & Speed Attribute,Did the time lapse of the capillary action demonstration last one hour and fifteen minutes according to the clock in the video?,15,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/C9yerI1NK7M
0242-2,tyz-WC0YVco,Correctly-led Open-ended Question,Character Reaction Causality,Did the two orange cats jump away because the person in the red hat used a party blower?,60.05,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/tyz-WC0YVco
0248-2,jfE_el65Sv0,Correctly-led Open-ended Question,Local Event Attribute,Is the person in the foreground painting a hyperrealistic image of a wet-haired woman?,12.16,Please state your answer with a brief explanation.,,https://youtube.com/shorts/jfE_el65Sv0
0251-2,#NAME?,Correctly-led Open-ended Question,Objective Causality,Did the ball fall off the disc because it was thrown and inertia carried it to the edge?,,Please state your answer with a brief explanation.,,https://youtube.com/shorts/-HAFFvsDCr4
0256-2,uPIpFgh_DPU,Correctly-led Open-ended Question,Event Counting,Does the ping-pong ball bounce 17 times on the ground before entering the cup?,15.35,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uPIpFgh_DPU
0259-2,rVfKtPLVaLw,Correctly-led Open-ended Question,Positional Relationship,Did the man use his left hand to throw away his hat after failing to score?,12.52,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/rVfKtPLVaLw
0266-2,9yC-paTJvkE,Correctly-led Open-ended Question,Positional Relationship,Is the yellow rubber band fully looped around the left thumb?,19.03,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/9yC-paTJvkE
0267-2,Drp2PBktp7U,Correctly-led Open-ended Question,Element Attributes (Optical Illusion),Is the person in the video creating an illusion by laying on the basketball court?,16.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Drp2PBktp7U
0273-2,zn3MNXMIdDk,Correctly-led Open-ended Question,Element Attributes,Is the top color of the solved Rubik's Cube white?,11.82,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/zn3MNXMIdDk
0274-2,GYTGrhKbo0g,Correctly-led Open-ended Question,Element Counting,"Is the total number of people in the video seven, considering the changes in camera angles and dance movements?",22.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/GYTGrhKbo0g
0276-2,PZad6gF_4Kk,Correctly-led Open-ended Question,Objective Causality (Videography Phenomenon & Illusion),Does the illusion rely on video editing effects like masking to make the pen appear to pass under the cube?,14.98,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/PZad6gF_4Kk
0278-2,JsAcQsidyIA,Correctly-led Open-ended Question,Element Attributes,Is the writing on the paper in the video orange?,46.23,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/JsAcQsidyIA
0288-2,CiUsdzLLbuE,Correctly-led Open-ended Question,Plot Attribute,Is the knife with the darker black steel part in the video the one that is not easy to use?,60.05,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/CiUsdzLLbuE
0291-2,#NAME?,Correctly-led Open-ended Question,Professional Knowledge,Did the initial rotation of the metal rod start because a human plucked it?,,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/-M7VdrQpWps
0292-2,Kv7s88uX0ek,Correctly-led Open-ended Question,Element Counting,Is there only one vehicle behind the bus after it passes?,10.65,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Kv7s88uX0ek
0295-2,uXbIuOImCmM,Correctly-led Open-ended Question,Event Counting,Did the person with the yellow bag try two methods to pour the contents?,26.01,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uXbIuOImCmM
0296-2,uAzw77AjDyc,Correctly-led Open-ended Question,Objective Causality,Is the reason the man misses the blue pants on his first attempt due to a visual illusion?,15.06,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/uAzw77AjDyc
0303-2,c1gl0Qahgdw,Correctly-led Open-ended Question,Local Event Attribute,Does the man stop cycling by jumping off his bike and crashing into a cushion?,14.76,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/c1gl0Qahgdw
0304-2,bc-OoJrrMuk,Correctly-led Open-ended Question,Element Counting,Does the person initially write on two layers of paper?,15.72,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/bc-OoJrrMuk
0308-2,R0f1qMFBemA,Correctly-led Open-ended Question,Local Event Attribute,Is the first military aircraft trying to land on an aircraft carrier but initially failing?,60.08,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/R0f1qMFBemA
0313-2,0pWDMjpDKKQ,Correctly-led Open-ended Question,Element Counting,Do the products occupy 9 compartments on the shelf at the end of the video?,19.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/0pWDMjpDKKQ
0319-2,NqMmfmsclrE,Correctly-led Open-ended Question,Positional Relationship,Does the ball end its motion at position C and then be put back into the circular wooden piece by the person at the end of the video?,8.75,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/NqMmfmsclrE
