qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url
0008-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),"How does the last person in the video open the bottle differently from the first two people?
A. He uses a different type of knife.
B. He uses a corkscrew.
C. He uses a bottle opener.
D. He uses his finger.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk
0012-7,AGCyLqLuUJ0,Multiple-choice Question with a Single Correct Answer,Element Counting,"How many robot figures are shown in the video?
A. Two
B. Three
C. Four
D. Five",20.67,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/AGCyLqLuUJ0
0016-7,4mKxze5P9gQ,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"Which direction is the person facing?
A. To the right
B. right and forward
C. left and forward
D. To the left",15.06,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/4mKxze5P9gQ
0036-7,1SiTuYb506o,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),"Why can the machine cut the zucchini so thinly?
A. The blades spin at high speed, and the stroboscopic effect makes it appear slow.
B. The machine uses a laser to cut.
C. The zucchini is fed consistently and controlled.
D. The blade is sharp enough to cut at a slower speed.",18.01,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/1SiTuYb506o
0037-7,KyyDh9NP_lc,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"How many parts of the video have been artificially edited?
A. Five
B. One
C. None
D. Two",19.55,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/KyyDh9NP_lc
0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk
0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sE-KTqE9Dek
0070-7,MSkL7A2yyOY,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice",12.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/MSkL7A2yyOY
0080-7,_MXxJT8Mk4k,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color",13.18,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/_MXxJT8Mk4k
0081-7,crJZF1-5ryE,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him.",11.86,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/crJZF1-5ryE
